Date,Classification
2014/12/01,1.0
2014/12/02,1.0
2014/12/03,1.0
2014/12/04,1.0
2014/12/05,0.0
2014/12/06,1.0
2014/12/07,1.0
2014/12/08,0.0
2014/12/09,1.0
2014/12/10,1.0
2014/12/11,0.0
2014/12/12,0.0
2014/12/13,0.0
2014/12/14,0.0
2014/12/15,1.0
2014/12/16,0.0
2014/12/17,1.0
2014/12/18,1.0
2014/12/19,0.0
2014/12/20,0.0
2014/12/21,1.0
2014/12/22,1.0
2014/12/23,1.0
2014/12/24,1.0
2014/12/25,1.0
2014/12/26,1.0
2014/12/27,1.0
2014/12/28,1.0
2014/12/29,0.0
2014/12/30,0.0
2014/12/31,0.0
